iter	Passed	Remaining
229	6748	10856
230	6780	10831
231	6810	10802
232	6835	10766
233	6862	10734
234	6889	10701
235	6918	10670
236	6945	10638
237	6973	10607
238	7002	10576
239	7027	10540
240	7055	10510
241	7080	10475
242	7106	10440
243	7134	10408
244	7163	10379
245	7187	10343
246	7217	10315
247	7244	10283
248	7275	10256
249	7303	10224
250	7330	10192
251	7355	10157
252	7382	10124
253	7407	10090
254	7433	10056
255	7457	10020
256	7483	9987
257	7508	9953
258	7534	9920
259	7561	9888
260	7585	9852
261	7612	9820
262	7638	9788
263	7664	9754
264	7694	9727
265	7721	9695
266	7747	9663
267	7773	9629
268	7801	9599
269	7830	9570
270	7856	9537
271	7880	9503
272	7910	9474
273	7939	9445
274	7964	9412
275	7994	9384
276	8025	9358
277	8049	9323
278	8079	9295
279	8106	9265
280	8131	9231
281	8158	9200
282	8186	9169
283	8215	9140
284	8241	9109
285	8268	9077
286	8294	9045
287	8321	9014
288	8349	8985
289	8374	8952
290	8399	8919
291	8425	8887
292	8452	8856
293	8485	8831
294	8509	8798
295	8536	8767
296	8561	8734
297	8584	8699
298	8609	8667
299	8636	8636
300	8661	8603
301	8686	8571
302	8711	8539
303	8738	8508
304	8765	8478
305	8789	8444
306	8813	8411
307	8838	8379
308	8864	8348
309	8893	8319
310	8925	8294
311	8956	8267
312	8987	8241
313	9018	8214
314	9049	8187
315	9074	8155
316	9102	8125
317	9127	8093
318	9151	8061
319	9178	8031
320	9201	7997
321	9224	7963
322	9249	7932
323	9273	7899
324	9302	7871
325	9330	7842
326	9355	7810
327	9381	7779
328	9409	7750
329	9435	7720
330	9459	7687
331	9486	7657
332	9512	7627
333	9540	7598
334	9564	7566
335	9588	7534
336	9612	7501
337	9636	7470
338	9662	7439
339	9691	7411
340	9717	7380
341	9743	7350
342	9770	7321
343	9797	7291
344	9822	7259
345	9849	7230
346	9878	7202
347	9902	7171
348	9930	7141
349	9954	7110
350	9982	7081
351	10008	7051
352	10033	7020
353	10062	6992
354	10087	6961
355	10116	6933
356	10143	6904
357	10168	6873
358	10192	6842
359	10215	6810
360	10241	6780
361	10267	6750
362	10290	6718
363	10314	6687
364	10341	6658
365	10366	6627
366	10391	6597
367	10415	6566
368	10442	6537
369	10469	6508
370	10499	6481
371	10526	6451
372	10553	6422
373	10578	6392
374	10603	6362
375	10631	6333
376	10658	6304
377	10686	6275
378	10710	6245
379	10736	6216
380	10761	6185
381	10787	6156
382	10815	6127
383	10839	6097
384	10865	6067
385	10893	6039
386	10923	6011
387	10946	5981
388	10971	5951
389	10995	5920
390	11020	5891
391	11047	5861
392	11077	5834
393	11102	5804
394	11133	5778
395	11162	5750
396	11194	5723
397	11220	5695
398	11247	5666
399	11273	5636
400	11305	5610
401	11332	5581
402	11359	5552
403	11385	5523
404	11410	5493
405	11441	5466
406	11473	5440
407	11501	5412
408	11527	5383
409	11554	5354
410	11578	5324
411	11605	5295
412	11629	5265
413	11655	5236
414	11681	5207
415	11710	5179
416	11735	5149
417	11759	5120
418	11786	5091
419	11813	5063
420	11839	5034
421	11865	5004
422	11892	4976
423	11916	4946
424	11941	4916
425	11965	4887
426	11990	4857
427	12014	4828
428	12038	4798
429	12062	4768
430	12093	4741
431	12125	4715
432	12151	4686
433	12178	4658
434	12201	4628
435	12227	4599
436	12254	4570
437	12280	4542
438	12301	4511
439	12322	4480
440	12343	4450
441	12368	4421
442	12393	4392
443	12417	4362
444	12442	4333
445	12465	4304
446	12493	4276
447	12524	4249
448	12552	4221
449	12580	4193
450	12606	4164
451	12628	4135
452	12655	4106
453	12679	4077
454	12701	4047
455	12724	4018
456	12753	3990
457	12781	3962
458	12803	3932
459	12828	3904
460	12854	3875
461	12882	3847
462	12908	3819
463	12937	3792
464	12964	3763
465	12990	3735
466	13015	3706
467	13040	3678
468	13067	3650
469	13090	3620
470	13120	3593
471	13145	3564
472	13171	3536
473	13197	3508
474	13225	3480
475	13251	3452
476	13278	3423
477	13305	3395
478	13342	3370
479	13375	3343
480	13402	3315
481	13431	3288
482	13460	3260
483	13488	3232
484	13517	3205
485	13542	3176
486	13569	3148
487	13596	3120
488	13625	3092
489	13651	3064
490	13678	3036
491	13704	3008
492	13734	2980
493	13761	2952
494	13787	2924
495	13812	2896
496	13838	2867
497	13865	2840
498	13891	2811
499	13918	2783
500	13943	2755
501	13968	2726
502	13997	2699
503	14025	2671
504	14051	2643
505	14078	2615
506	14107	2587
507	14138	2560
508	14165	2532
509	14190	2504
510	14211	2475
511	14237	2447
512	14264	2419
513	14289	2390
514	14316	2362
515	14344	2335
516	14370	2307
517	14397	2279
518	14424	2251
519	14451	2223
520	14477	2195
521	14501	2166
522	14531	2139
523	14560	2111
524	14583	2083
525	14610	2055
526	14638	2027
527	14667	2000
528	14693	1972
529	14719	1944
530	14745	1916
531	14771	1888
532	14797	1860
533	14822	1832
534	14849	1804
535	14877	1776
536	14903	1748
537	14932	1720
538	14961	1693
539	14988	1665
540	15010	1637
541	15038	1609
542	15064	1581
543	15093	1553
544	15118	1525
545	15150	1498
546	15173	1470
547	15198	1442
548	15225	1414
549	15252	1386
550	15277	1358
551	15303	1330
552	15331	1303
553	15359	1275
554	15384	1247
555	15408	1219
556	15433	1191
557	15457	1163
558	15484	1135
559	15509	1107
560	15536	1080
561	15568	1052
562	15598	1025
563	15630	997
564	15656	969
565	15680	941
566	15704	914
567	15737	886
568	15765	858
569	15795	831
570	15824	803
571	15856	776
572	15897	749
573	15932	721
574	15963	694
575	15991	666
576	16017	638
577	16045	610
578	16070	582
579	16096	555
580	16123	527
581	16149	499
582	16181	471
583	16211	444
584	16238	416
585	16263	388
586	16291	360
587	16314	332
588	16343	305
589	16368	277
590	16393	249
591	16416	221
592	16448	194
593	16479	166
594	16504	138
595	16531	110
596	16554	83
597	16579	55
598	16606	27
599	16631	0
