iter	RMSE
274	561.637181
275	561.6082659
276	561.5368361
277	561.4146757
278	561.2526343
279	561.1367095
280	561.064757
281	561.0264273
282	560.9761684
283	560.9122489
284	560.8249975
285	560.7745489
286	560.6527574
287	560.6203051
288	560.5581394
289	560.4900052
290	560.4230873
291	560.3437913
292	560.3067408
293	560.2395212
294	560.2066699
295	560.1323199
296	560.0320765
297	559.9871287
298	559.9440273
299	559.8831095
300	559.784258
301	559.6869397
302	559.6141339
303	559.5682635
304	559.4931609
305	559.4726369
306	559.4316208
307	559.359639
308	559.2440884
309	559.1988386
310	559.1388692
311	559.0476244
312	559.0198351
313	558.9743065
314	558.8949038
315	558.7979055
316	558.7348582
317	558.6361935
318	558.5605065
319	558.5259345
320	558.5013624
321	558.4625654
322	558.3841733
323	558.3035437
324	558.2737151
325	558.2088299
326	558.1071203
327	558.0320026
328	557.9891244
329	557.9045155
330	557.8284009
331	557.7585539
332	557.6805991
333	557.6107767
334	557.5550661
335	557.4643325
336	557.3970341
337	557.3457776
338	557.2761539
339	557.1950596
340	557.0991589
341	557.0101161
342	556.9320522
343	556.8973062
344	556.8357371
345	556.7204277
346	556.6390551
347	556.5910291
348	556.5361113
349	556.4809292
350	556.4094484
351	556.2811046
352	556.2597484
353	556.2167271
354	556.1699004
355	556.090285
356	556.0194111
357	555.9906653
358	555.9271637
359	555.9069309
360	555.8551735
361	555.8089952
362	555.7770107
363	555.7459017
364	555.693874
365	555.5929765
366	555.5017333
367	555.4740812
368	555.3963922
369	555.3184414
370	555.2508076
371	555.1590749
372	555.0922749
373	555.0260708
374	554.9857083
375	554.9631895
376	554.8868871
377	554.8194467
378	554.7310394
379	554.7178527
380	554.6552953
381	554.6019505
382	554.5076078
383	554.4504311
384	554.359855
385	554.2832693
386	554.2662041
387	554.2336463
388	554.181913
389	554.1332731
390	554.084658
391	554.0147334
392	553.8902218
393	553.8334787
394	553.7755532
395	553.7359583
396	553.608219
397	553.5576008
398	553.4517534
399	553.2653658
400	553.21305
401	553.1542283
402	552.9587251
403	552.8851052
404	552.8757429
405	552.8023635
406	552.7053574
407	552.6750935
408	552.6066481
409	552.4347036
410	552.3571251
411	552.1590535
412	552.1426173
413	552.1273999
414	552.0843778
415	552.0281242
416	552.0060963
417	551.9768735
418	551.9119924
419	551.8480639
420	551.7597699
421	551.7265791
422	551.6630261
423	551.6332308
424	551.6190155
425	551.5362008
426	551.5044655
427	551.3716741
428	551.3139622
429	551.2583857
430	551.1754835
431	551.1306755
432	551.1025926
433	551.0476981
434	551.0262414
435	550.9460399
436	550.9326686
437	550.8687672
438	550.8621581
439	550.8557705
440	550.8495965
441	550.7943856
442	550.748023
443	550.6816609
444	550.596263
445	550.5533617
446	550.4862442
447	550.4582041
448	550.4021131
449	550.3118895
450	550.2579372
451	550.2486594
452	550.1362055
453	550.127266
454	550.1186586
455	550.03882
456	549.9821396
457	549.9270506
458	549.9212757
459	549.8539981
460	549.8457842
461	549.7492275
462	549.6380267
463	549.5829503
464	549.5069887
465	549.3968654
466	549.3626288
467	549.3549754
468	549.2652623
469	549.2600461
470	549.2209579
471	549.1630251
472	549.1170916
473	549.024045
474	548.967754
475	548.9606924
476	548.9100052
477	548.8093035
478	548.6872969
479	548.6361791
480	548.6304428
481	548.5820973
482	548.5312124
483	548.4972417
484	548.384576
485	548.3339636
486	548.2899076
487	548.1782893
488	548.1366009
489	548.1073752
490	548.0089444
491	547.9277752
492	547.8710392
493	547.8067676
494	547.8001964
495	547.751919
496	547.6638511
497	547.6209033
498	547.5597532
499	547.4124064
500	547.3816028
501	547.3605787
502	547.3258527
503	547.2410238
504	547.1825841
505	547.144745
506	547.0873415
507	547.0470466
508	546.9938586
509	546.8882766
510	546.8800418
511	546.8738012
512	546.7747584
513	546.7515415
514	546.6563962
515	546.6345376
516	546.5760657
517	546.5410429
518	546.4915583
519	546.4430291
520	546.3680893
521	546.3571278
522	546.256609
523	546.1725425
524	546.120466
525	546.0563261
526	546.0163968
527	545.9202823
528	545.8695625
529	545.7227939
530	545.6901083
531	545.5624832
532	545.5201275
533	545.4673386
534	545.4214093
535	545.372748
536	545.3054732
537	545.2999542
538	545.258764
539	545.209463
540	545.2021336
541	545.1568536
542	545.0930349
543	545.046509
544	544.9997974
545	544.9730126
546	544.9302855
547	544.8837145
548	544.7973727
549	544.7329101
550	544.661189
551	544.5924679
552	544.522027
553	544.4702064
554	544.4333628
555	544.3664256
556	544.3227112
557	544.2690636
558	544.1955724
559	544.1902955
560	544.114061
561	544.0590632
562	543.995674
563	543.9121632
564	543.8350414
565	543.7909127
566	543.7003852
567	543.6063931
568	543.5734134
569	543.5312936
570	543.47156
571	543.4192172
572	543.3380778
573	543.2782916
574	543.2423898
575	543.2166622
576	543.1843676
577	543.1123791
578	543.0606096
579	543.022088
580	542.9866978
581	542.8878867
582	542.8825999
583	542.84195
584	542.7936737
585	542.7521842
586	542.7051906
587	542.6706453
588	542.6253636
589	542.5478165
590	542.4487307
591	542.3778401
592	542.3520684
593	542.3083997
594	542.2612286
595	542.2389965
596	542.2175262
597	542.1308127
598	542.1133903
599	542.0851636
